,user activity,env brightness,images,theme,layout,font size,p_score,i_score,r_score,score,output
252,STILL,871.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
253,STILL,923.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
254,STILL,789.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
255,STILL,865.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
256,IN_VEHICLE,13.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
257,IN_VEHICLE,19.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
258,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
259,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
260,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
261,ON_FOOT,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
262,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
263,STILL,13.0,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
264,STILL,13.0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
265,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
266,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
267,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
268,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
269,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
270,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
271,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
272,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
273,ON_FOOT,136.0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
274,ON_FOOT,107.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
275,ON_FOOT,93.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
276,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
277,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,2,1,5,0
278,STILL,0.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
279,STILL,0.0,withImages,light-theme,largeCards,small-font,0,1,2,3,0
280,STILL,117.0,withImages,light-theme,xLargeCards,small-font,2,1,0,3,0
281,STILL,19.0,withImages,light-theme,xLargeCards,small-font,1,0,1,2,0
282,ON_FOOT,0.0,withImages,light-theme,largeCards,large-font,1,1,2,4,0
283,STILL,87.0,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
284,STILL,61.0,withImages,light-theme,xLargeCards,large-font,2,1,0,3,0
285,STILL,17.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
286,ON_FOOT,20.0,withImages,light-theme,largeCards,small-font,1,2,1,4,0
287,STILL,2.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
288,STILL,1.0,withImages,light-theme,largeCards,small-font,2,1,2,5,0
289,STILL,1.0,withImages,light-theme,largeCards,small-font,1,2,2,5,0
290,ON_FOOT,221.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
291,ON_FOOT,174.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
292,STILL,0.0,withImages,light-theme,xLargeCards,small-font,2,1,1,4,0
293,ON_FOOT,93.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
294,ON_FOOT,26.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
295,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
296,ON_FOOT,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
297,ON_FOOT,64.0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
298,STILL,0.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
299,STILL,57.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
300,ON_FOOT,11.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
301,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
302,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
303,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
304,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
305,STILL,17.0,withImages,dark-theme,xLargeCards,small-font,1,0,2,3,0
306,STILL,17.0,withImages,dark-theme,xLargeCards,small-font,1,2,0,3,0
307,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
308,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
309,STILL,103.0,withImages,light-theme,largeCards,large-font,2,2,1,5,0
310,STILL,88.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
311,STILL,93.0,withImages,light-theme,largeCards,small-font,2,2,1,5,0
312,STILL,137.0,withImages,light-theme,largeCards,large-font,1,0,2,3,0
313,STILL,33.0,withImages,light-theme,largeCards,large-font,2,2,1,5,0
314,STILL,38.0,withImages,light-theme,largeCards,large-font,1,2,1,4,0
315,STILL,35.0,withImages,light-theme,largeCards,large-font,1,2,2,5,0
316,ON_FOOT,270.0,withImages,dark-theme,largeCards,small-font,2,0,0,2,0
317,STILL,84.0,withImages,light-theme,largeCards,large-font,1,1,2,4,0
318,STILL,90.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
319,STILL,91.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
320,STILL,73.0,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
321,STILL,71.0,withImages,dark-theme,xLargeCards,small-font,0,1,2,3,0
322,STILL,71.0,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
323,STILL,73.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
324,STILL,142.0,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
325,STILL,141.0,withImages,light-theme,xLargeCards,large-font,0,1,0,1,0
326,STILL,27.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
327,STILL,25.0,withImages,light-theme,largeCards,small-font,1,2,2,5,0
328,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
329,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
330,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
331,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
332,STILL,167.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
333,STILL,167.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
334,STILL,167.0,withImages,dark-theme,xLargeCards,large-font,0,0,0,0,0
335,STILL,167.0,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
336,STILL,167.0,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
337,STILL,148.0,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
338,STILL,4.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
339,STILL,16.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
340,STILL,4.0,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
341,IN_VEHICLE,384.0,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
342,ON_FOOT,192.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
343,ON_FOOT,384.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
344,STILL,470.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
345,STILL,192.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
346,STILL,437.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
347,IN_VEHICLE,206.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
348,ON_FOOT,199.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
349,IN_VEHICLE,809.0,withImages,dark-theme,xLargeCards,large-font,-1,-1,-1,-3,0
350,IN_VEHICLE,159.0,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
351,IN_VEHICLE,855.0,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
352,IN_VEHICLE,650.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
353,IN_VEHICLE,782.0,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
354,IN_VEHICLE,616.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
355,IN_VEHICLE,132.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
356,IN_VEHICLE,119.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
357,IN_VEHICLE,146.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
358,IN_VEHICLE,146.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
359,IN_VEHICLE,683.0,withImages,dark-theme,xLargeCards,small-font,-1,-2,-1,-4,0
360,IN_VEHICLE,212.0,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
361,IN_VEHICLE,603.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
362,IN_VEHICLE,126.0,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
363,STILL,11.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
364,STILL,11.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
365,STILL,3.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
366,STILL,5.0,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
367,STILL,12.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
368,STILL,14.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
369,STILL,142.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
370,STILL,163.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
371,STILL,160.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
372,STILL,115.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
373,STILL,53.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
374,STILL,178.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
375,STILL,149.0,withImages,light-theme,largeCards,large-font,1,2,1,4,0
376,STILL,195.0,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
377,STILL,194.0,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
378,STILL,174.0,withImages,dark-theme,xLargeCards,large-font,0,0,0,0,0
379,STILL,174.0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
380,STILL,186.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
381,ON_FOOT,23.0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
382,STILL,148.0,withImages,light-theme,largeCards,small-font,2,1,2,5,0
383,STILL,85.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
384,STILL,87.0,withImages,light-theme,largeCards,small-font,2,1,2,5,0
385,STILL,234.0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
386,STILL,229.0,withImages,light-theme,largeCards,small-font,0,1,0,1,0
387,STILL,25.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
388,STILL,157.0,withImages,light-theme,largeCards,small-font,1,2,1,4,0
389,STILL,155.0,withImages,light-theme,largeCards,small-font,0,0,2,2,0
390,STILL,102.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
391,STILL,102.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
392,STILL,15.0,withImages,light-theme,largeCards,large-font,1,2,1,4,0
393,STILL,16.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
394,STILL,15.0,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
395,STILL,15.0,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
396,STILL,13.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
397,STILL,13.0,withImages,dark-theme,largeCards,large-font,0,0,0,0,0
398,STILL,15.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
399,ON_FOOT,44.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
400,STILL,16.0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
401,STILL,84.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
402,STILL,2.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
403,STILL,2.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
404,STILL,21.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
405,STILL,20.0,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
406,STILL,0.0,withImages,light-theme,largeCards,large-font,0,1,1,2,0
407,STILL,0.0,withImages,light-theme,largeCards,large-font,0,1,0,1,0
408,STILL,66.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
409,STILL,52.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
410,STILL,80.0,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
411,STILL,125.0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
412,STILL,67.0,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
413,STILL,14.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
414,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
415,STILL,0.0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
416,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
417,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
418,STILL,0.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
419,STILL,0.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
420,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
421,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
422,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
423,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
424,STILL,39.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
425,STILL,46.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
426,STILL,8.0,withImages,light-theme,largeCards,large-font,1,2,2,5,0
427,STILL,9.0,withImages,light-theme,largeCards,large-font,1,2,1,4,0
428,STILL,10.0,withImages,dark-theme,largeCards,large-font,1,0,0,1,0
429,STILL,16.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
430,STILL,16.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
431,ON_FOOT,318.0,withImages,light-theme,xLargeCards,small-font,-2,-2,-2,-6,0
432,ON_FOOT,782.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
433,ON_FOOT,192.0,withImages,dark-theme,largeCards,small-font,-2,-2,-2,-6,0
434,IN_VEHICLE,875.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
435,IN_VEHICLE,921.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
436,IN_VEHICLE,935.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
437,ON_FOOT,198.0,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
438,ON_FOOT,285.0,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
439,ON_FOOT,53.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
440,ON_FOOT,59.0,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
441,ON_FOOT,1054.0,withImages,dark-theme,xLargeCards,large-font,-2,-2,-2,-6,0
442,ON_FOOT,1346.0,withImages,dark-theme,xLargeCards,small-font,-1,-1,-1,-3,0
443,IN_VEHICLE,417.0,withImages,dark-theme,largeCards,small-font,2,1,2,5,0
444,IN_VEHICLE,72.0,withImages,light-theme,xLargeCards,large-font,-2,-2,-2,-6,0
445,STILL,8.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
446,STILL,7.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
447,STILL,34.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
448,STILL,37.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
449,STILL,37.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
450,STILL,39.0,withImages,light-theme,largeCards,small-font,1,1,1,3,0
451,STILL,10.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
452,STILL,10.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
453,ON_FOOT,3563.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
454,ON_FOOT,5849.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
455,STILL,4435.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
456,ON_FOOT,3037.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
457,STILL,10.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
458,STILL,6.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
459,STILL,12.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
460,STILL,6.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
461,STILL,24.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
462,STILL,4.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
463,STILL,15.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
464,STILL,111.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
465,STILL,103.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
466,STILL,296.0,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
467,STILL,132.0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
468,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,1,2,5,0
469,STILL,132.0,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
470,STILL,139.0,withImages,light-theme,xLargeCards,large-font,1,2,1,4,0
471,STILL,139.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
472,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
473,STILL,0.0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
474,STILL,19.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
475,STILL,22.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
476,STILL,303.0,withImages,light-theme,largeCards,small-font,2,2,2,6,1
477,STILL,276.0,withImages,light-theme,largeCards,small-font,1,1,2,4,0
478,STILL,351.0,withImages,light-theme,largeCards,large-font,2,1,1,4,0
479,STILL,336.0,withImages,light-theme,largeCards,large-font,1,2,2,5,0
480,STILL,7904.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
481,ON_FOOT,6487.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
482,ON_FOOT,9753.0,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
483,ON_FOOT,8249.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
484,ON_FOOT,5588.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
485,ON_FOOT,9637.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
486,ON_FOOT,6813.0,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
487,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
488,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
489,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
490,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
491,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
492,STILL,0.0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
493,STILL,0.0,withImages,dark-theme,largeCards,small-font,1,2,1,4,0
494,ON_FOOT,18.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
495,STILL,18.0,withImages,light-theme,largeCards,large-font,2,1,2,5,0
496,ON_FOOT,47.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
497,STILL,74.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
498,STILL,91.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
499,ON_FOOT,78.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
500,ON_FOOT,74.0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
501,STILL,17.0,withImages,dark-theme,xLargeCards,small-font,1,0,0,1,0
502,STILL,13.0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0